,group size
0,22
1,21
2,21
3,20
4,28
5,24
6,28
7,22
8,24
9,29
10,28
11,21
12,21
13,27
14,21
15,24
16,25
17,28
18,20
19,20
20,25
21,28
22,25
23,27
24,28
25,21
26,23
27,20
28,30
29,27
30,25
31,30
32,20
33,26
34,29
35,21
36,28
37,23
38,20
39,26
40,30
41,25
42,20
43,21
44,28
45,24
46,22
47,27
48,26
49,23
50,28
51,21
52,22
53,22
54,24
55,22
56,27
57,30
58,22
59,20
60,27
61,23
62,29
63,27
64,20
65,25
66,22
67,25
68,21
69,21
70,28
71,20
72,26
73,27
74,23
75,25
76,26
77,20
78,24
79,24
80,22
81,27
82,21
83,30
84,29
85,30
86,29
87,23
88,30
89,22
90,27
91,24
