,group size
0,26
1,26
2,25
3,30
4,27
5,23
6,30
7,25
8,24
9,21
10,26
11,25
12,23
13,25
14,28
15,26
16,29
17,28
18,30
19,20
20,27
21,21
22,25
23,30
24,20
25,29
26,21
27,23
28,26
29,24
30,20
31,27
32,26
33,28
34,20
35,25
36,20
37,27
38,25
39,26
40,21
41,27
42,21
43,30
44,27
45,28
46,20
47,26
48,29
49,23
50,20
51,25
52,20
53,27
54,21
55,20
56,26
57,23
58,23
59,24
60,25
61,26
62,23
63,23
64,22
65,29
66,21
67,24
68,22
69,28
70,25
71,23
72,29
73,22
74,27
75,21
76,28
77,25
78,20
79,25
80,22
81,28
82,30
83,26
84,25
85,23
86,24
87,21
88,27
89,30
90,26
91,29
92,24
93,29
94,27
95,24
96,30
97,24
98,29
99,27
100,26
101,27
102,24
103,30
104,28
105,29
106,27
107,29
108,27
109,29
