,availability
0,3000
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,2950
8,3000
9,3000
10,3000
11,3000
12,2620
13,3000
14,3000
15,3000
16,3000
17,3000
18,3000
19,3000
20,3000
21,3000
22,3000
23,3000
24,3000
25,3000
26,3000
27,3000
28,2980
29,3000
30,3000
31,3000
32,3000
33,3000
34,3000
35,3000
36,3000
37,3000
38,3000
39,2800
40,3000
41,3000
42,2680
43,3000
44,3000
45,2520
46,3000
47,2580
48,3000
49,3000
50,3000
51,2960
52,3000
53,3000
54,2910
55,2500
56,3000
57,3000
58,3000
59,2810
60,3000
61,3000
62,3000
63,3000
64,3000
65,3000
66,3000
67,2750
68,3000
69,3000
70,3000
71,3000
72,3000
73,3000
74,3000
75,3000
76,3000
77,3000
78,3000
79,3000
80,3000
81,3000
