,lecturer,type,duration,rooms,groups
0,48,Excercises,135,"[5, 9, 24, 36]",[0]
1,61,Lectures,135,"[36, 46, 15, 25]","[12, 27, 80]"
2,14,Excercises,135,"[38, 11, 32, 47]",[0]
3,19,Excercises,135,[30],[0]
4,42,Lectures,135,"[4, 31, 38]","[62, 14, 27, 56, 31, 33]"
5,20,Lectures,135,"[42, 22, 14, 9]","[47, 6, 82, 76]"
6,19,Excercises,135,"[17, 28]",[0]
7,24,Excercises,135,"[25, 16, 23]",[0]
8,14,Excercises,135,"[12, 5]",[0]
9,58,Excercises,135,"[19, 43, 8]",[0]
10,4,Excercises,135,"[0, 20, 26]",[0]
11,58,Excercises,135,[45],[0]
12,7,Lectures,135,"[21, 15]","[65, 19, 7, 35, 19, 69]"
13,18,Excercises,135,"[9, 32, 43, 44]",[0]
14,1,Excercises,135,"[27, 3]",[0]
15,2,Excercises,135,"[22, 34]",[0]
16,28,Excercises,135,[23],[0]
17,65,Excercises,135,"[36, 15, 2]",[0]
18,30,Excercises,135,"[35, 41]",[0]
19,21,Excercises,135,"[21, 14, 5]",[0]
20,46,Excercises,135,"[47, 47, 12]",[0]
21,11,Lectures,135,"[19, 21, 27, 1]","[88, 42, 78, 81]"
22,36,Excercises,135,"[24, 7, 38, 47]",[0]
23,65,Lectures,135,"[3, 14, 26, 20]","[6, 41, 81]"
24,57,Lectures,135,"[35, 21, 18, 21]","[10, 29, 56, 46, 86]"
25,46,Excercises,135,"[4, 5, 45, 24]",[0]
26,38,Lectures,135,[41],[85]
27,55,Excercises,135,"[25, 12, 46]",[0]
28,62,Excercises,135,"[18, 42, 36, 29]",[0]
29,54,Excercises,135,[23],[0]
30,51,Lectures,135,"[32, 29]","[72, 42, 33, 44]"
31,34,Lectures,135,[9],"[21, 13, 61, 37, 39, 45]"
32,34,Excercises,135,"[34, 21]",[0]
33,28,Excercises,135,[17],[0]
34,28,Excercises,135,"[48, 38, 7, 38]",[0]
35,12,Excercises,135,"[8, 26, 5]",[0]
36,5,Lectures,135,"[32, 28]","[66, 41, 38, 41, 62]"
37,15,Excercises,135,"[7, 42, 25, 30]",[0]
38,19,Excercises,135,"[38, 28]",[0]
39,37,Excercises,135,"[8, 2, 45]",[0]
40,54,Excercises,135,"[13, 31, 30, 0]",[0]
41,61,Excercises,135,"[41, 26]",[0]
42,50,Excercises,135,[24],[0]
43,51,Lectures,135,"[18, 34, 31]","[20, 79, 34, 65, 64, 15]"
44,64,Excercises,135,"[10, 15, 9, 15]",[0]
45,42,Excercises,135,"[10, 21]",[0]
46,44,Excercises,135,"[42, 31, 19]",[0]
47,30,Excercises,135,"[47, 27, 11]",[0]
48,6,Excercises,135,"[14, 7, 20]",[0]
49,10,Excercises,135,"[43, 25]",[0]
50,17,Excercises,135,"[4, 37, 21, 2]",[0]
51,16,Excercises,135,"[5, 16, 9]",[0]
52,48,Excercises,135,"[30, 35, 24]",[0]
53,53,Excercises,135,"[11, 32, 16]",[0]
54,11,Excercises,135,[43],[0]
55,27,Excercises,135,"[2, 5]",[0]
56,57,Excercises,135,"[27, 11, 6, 4]",[0]
57,34,Lectures,135,"[21, 10]","[23, 64, 54, 77]"
58,44,Lectures,135,"[13, 21, 9]","[35, 34, 69, 40, 34]"
59,21,Excercises,135,"[36, 16]",[0]
60,43,Excercises,135,[38],[0]
61,42,Excercises,135,"[31, 48, 20]",[0]
62,12,Excercises,135,"[25, 2]",[0]
63,12,Excercises,135,"[28, 35]",[0]
64,36,Excercises,135,"[30, 24]",[0]
65,38,Excercises,135,[32],[0]
66,18,Excercises,135,"[41, 24, 7, 35]",[0]
67,23,Excercises,135,[43],[0]
68,7,Excercises,135,[36],[0]
69,62,Excercises,135,"[38, 29, 20, 28]",[0]
70,56,Excercises,135,[24],[0]
71,6,Lectures,135,"[38, 43, 42, 38]","[27, 75, 83]"
72,20,Excercises,135,"[18, 12, 36, 8]",[0]
73,48,Excercises,135,"[10, 12]",[0]
74,14,Excercises,135,"[0, 19]",[0]
75,30,Excercises,135,[34],[0]
76,16,Excercises,135,[35],[0]
77,64,Excercises,135,[17],[0]
78,6,Excercises,135,"[46, 11, 43, 11]",[0]
79,44,Excercises,135,"[43, 36, 20]",[0]
80,30,Excercises,135,[29],[0]
81,1,Lectures,135,"[29, 27, 15, 22]",[65]
82,6,Excercises,135,"[45, 22]",[0]
83,3,Excercises,135,[29],[0]
84,47,Excercises,135,"[8, 41, 41]",[0]
85,27,Excercises,135,"[2, 27]",[0]
86,5,Lectures,135,[36],"[3, 50, 69, 63]"
87,54,Excercises,135,"[22, 1, 1, 15]",[0]
88,6,Excercises,135,"[17, 28, 43, 22]",[0]
89,18,Excercises,135,"[40, 32, 12]",[0]
90,34,Excercises,135,"[27, 19, 40, 48]",[0]
91,28,Excercises,135,"[6, 25, 35, 38]",[0]
92,18,Lectures,135,"[38, 39, 21, 24]","[89, 23, 49, 63, 16, 26]"
93,12,Excercises,135,"[36, 17]",[0]
94,1,Lectures,135,"[13, 19]","[33, 54, 5, 62]"
95,22,Excercises,135,[4],[0]
96,1,Lectures,135,"[13, 1]","[32, 2, 69]"
97,28,Excercises,135,"[45, 37, 44, 28]",[0]
98,42,Excercises,135,"[36, 31, 37]",[0]
99,7,Excercises,135,"[17, 26, 0]",[0]
100,53,Excercises,135,[28],[0]
101,30,Excercises,135,[28],[0]
102,33,Excercises,135,"[3, 16, 1]",[0]
103,5,Excercises,135,"[4, 17, 6, 8]",[0]
104,53,Excercises,135,"[39, 13, 36]",[0]
105,10,Lectures,135,"[47, 35]","[80, 66, 20, 44, 74, 29]"
106,24,Excercises,135,"[7, 0, 6, 46]",[0]
107,63,Excercises,135,[37],[0]
108,63,Excercises,135,"[0, 3, 38]",[0]
109,62,Excercises,135,[20],[0]
110,1,Excercises,135,"[20, 24]",[0]
111,44,Excercises,135,"[22, 13, 22, 28]",[0]
112,55,Excercises,135,"[38, 12, 31, 40]",[0]
113,59,Lectures,135,"[3, 34, 12, 29]","[31, 74, 79, 2, 49]"
