,lecturer,type,duration,rooms,groups
0,22,Exercises,135,[7],[0]
1,29,Lecture,135,"[67, 40, 49]","[63, 24]"
2,33,Exercises,135,"[44, 14, 20, 60]",[0]
3,54,Exercises,135,"[58, 37, 27]",[0]
4,11,Exercises,135,[10],[0]
5,56,Exercises,135,[36],[0]
6,62,Exercises,135,"[13, 30]",[0]
7,3,Lecture,135,[41],"[43, 54, 0, 49, 1, 79]"
8,47,Exercises,135,"[38, 37, 10]",[0]
9,34,Exercises,135,"[58, 56, 40, 4]",[0]
10,56,Lecture,135,"[24, 13]","[30, 74, 4, 35, 62]"
11,34,Lecture,135,"[3, 55, 32]","[8, 28, 77]"
12,35,Exercises,135,"[37, 63, 39]",[0]
13,44,Exercises,135,"[50, 60, 10, 62]",[0]
14,23,Exercises,135,"[67, 11, 43]",[0]
15,59,Exercises,135,"[26, 64]",[0]
16,61,Exercises,135,"[27, 61]",[0]
17,12,Lecture,135,"[60, 55, 17, 26]","[13, 61, 72, 36]"
18,31,Lecture,135,"[20, 6, 3]","[50, 79, 72]"
19,35,Exercises,135,"[65, 39, 48]",[0]
20,28,Exercises,135,"[7, 58, 23, 15]",[0]
21,37,Exercises,135,"[58, 41]",[0]
22,10,Lecture,135,[63],[58]
23,12,Exercises,135,[63],[0]
24,32,Exercises,135,"[63, 34, 52, 28]",[0]
25,47,Exercises,135,"[18, 32, 9]",[0]
26,64,Exercises,135,"[66, 53, 26]",[0]
27,60,Exercises,135,[44],[0]
28,28,Exercises,135,[46],[0]
29,57,Exercises,135,"[56, 3, 13, 66]",[0]
30,50,Exercises,135,"[54, 58, 23]",[0]
31,19,Exercises,135,"[25, 63, 18, 36]",[0]
32,29,Lecture,135,"[37, 4, 61, 56]","[10, 45, 55]"
33,16,Exercises,135,"[3, 6, 31]",[0]
34,28,Exercises,135,[15],[0]
35,27,Exercises,135,"[28, 58, 65]",[0]
36,33,Exercises,135,"[52, 5, 22, 60]",[0]
37,1,Lecture,135,"[62, 30, 38]",[10]
38,37,Exercises,135,[66],[0]
39,53,Exercises,135,[58],[0]
40,55,Exercises,135,"[24, 64, 62, 25]",[0]
41,36,Exercises,135,"[45, 16, 2]",[0]
42,34,Exercises,135,"[58, 1, 62]",[0]
43,60,Exercises,135,"[45, 21, 25, 2]",[0]
44,31,Exercises,135,"[10, 39, 36, 23]",[0]
45,58,Exercises,135,[26],[0]
46,44,Exercises,135,"[33, 10, 55]",[0]
47,48,Lecture,135,[43],[55]
48,6,Exercises,135,[65],[0]
49,6,Exercises,135,[52],[0]
50,32,Exercises,135,[58],[0]
