,lecturer,type,duration,rooms,groups
0,24,Exercises,90,"[4, 12, 59]",[0]
1,34,Exercises,90,"[48, 7, 19, 29]",[1]
2,42,Exercises,90,[21],[2]
3,30,Exercises,90,[31],[3]
4,5,Lecture,90,"[22, 10, 7]","[6, 81, 70, 57]"
5,34,Lecture,90,"[36, 11, 57, 58]",[81]
6,37,Exercises,90,"[42, 45, 10]",[4]
7,30,Exercises,90,"[13, 6]",[5]
8,3,Lecture,90,"[36, 16, 39]","[24, 39, 23]"
9,0,Lecture,90,"[4, 59, 37]",[1]
10,16,Exercises,90,[16],[6]
11,1,Lecture,90,[4],"[66, 12, 64, 84, 75]"
12,44,Lecture,90,"[11, 4, 49, 52]","[45, 6, 83, 18, 33, 39]"
13,38,Exercises,135,"[29, 17, 27]",[7]
14,12,Exercises,90,"[29, 32, 28]",[8]
15,13,Exercises,135,"[7, 34, 19]",[9]
16,2,Exercises,90,[55],[10]
17,23,Lecture,90,[4],"[64, 90, 89]"
18,18,Exercises,90,"[2, 0, 50, 25]",[11]
19,20,Exercises,90,"[44, 26, 40, 16]",[12]
20,22,Lecture,135,"[12, 54, 56, 43]","[24, 72, 68, 42, 88]"
21,53,Lecture,90,"[59, 22, 39, 53]","[29, 48]"
22,26,Exercises,90,"[13, 55, 58, 18]",[13]
23,10,Exercises,90,"[36, 15, 39]",[14]
24,46,Exercises,90,[5],[15]
25,5,Exercises,90,"[42, 14]",[16]
26,31,Exercises,90,[38],[17]
27,10,Lecture,90,"[48, 4]","[51, 71]"
28,5,Lecture,90,"[36, 35]","[29, 38, 22]"
29,22,Exercises,90,[54],[18]
30,37,Lecture,90,"[4, 21, 20]","[52, 12, 41, 25, 30]"
31,2,Lecture,90,"[30, 39, 0]","[25, 20, 91, 3, 15]"
32,11,Lecture,90,[58],"[55, 70, 12, 19]"
33,8,Exercises,90,"[51, 16]",[19]
34,43,Exercises,135,"[36, 48, 40, 54]",[20]
35,10,Lecture,90,"[21, 58, 26]","[15, 88, 10, 2, 36]"
36,41,Exercises,90,"[50, 22]",[21]
37,4,Exercises,90,[24],[22]
38,37,Exercises,90,[10],[23]
39,33,Exercises,90,[15],[24]
40,15,Lecture,90,"[55, 57, 20, 12]","[47, 48, 21, 19, 71, 33]"
41,7,Lecture,90,"[26, 17, 38, 53]","[10, 80]"
42,25,Exercises,90,"[19, 12, 27]",[25]
43,46,Lecture,90,"[34, 29, 27]",[56]
44,23,Lecture,90,"[8, 35, 32]","[80, 47, 30, 18]"
45,26,Exercises,90,[50],[26]
46,15,Lecture,90,"[52, 35, 41, 16]","[25, 27, 5, 49, 14, 87]"
47,7,Lecture,90,"[4, 54]","[88, 13, 87]"
48,35,Lecture,135,[11],"[76, 77]"
49,36,Exercises,90,[16],[27]
50,19,Lecture,90,"[7, 25, 49, 18]",[2]
51,51,Exercises,90,"[31, 29, 4]",[28]
52,23,Exercises,90,[48],[29]
53,38,Lecture,90,"[32, 48, 11, 3]","[50, 88, 82, 12, 28, 43]"
54,39,Exercises,90,"[17, 58, 35, 34]",[30]
55,41,Exercises,90,"[29, 59]",[31]
56,25,Exercises,90,[52],[32]
57,9,Exercises,90,"[42, 52, 37]",[33]
58,30,Exercises,90,"[41, 59]",[34]
59,34,Lecture,90,"[35, 57, 51]","[76, 62, 7, 63]"
60,40,Exercises,90,"[23, 45]",[35]
61,39,Lecture,90,[41],"[61, 91, 30, 79]"
62,30,Exercises,90,[18],[36]
63,12,Lecture,90,"[9, 22, 20]","[20, 9]"
64,41,Lecture,90,"[11, 37, 14, 16]","[89, 72, 83]"
65,23,Exercises,135,"[39, 38]",[37]
66,31,Exercises,90,[43],[38]
67,16,Exercises,90,"[46, 36, 19, 49]",[39]
68,32,Exercises,90,"[0, 14]",[40]
69,43,Lecture,90,[26],"[60, 54, 53, 31, 32, 61]"
70,53,Lecture,135,"[24, 11]","[85, 48, 83, 88, 3]"
71,23,Lecture,90,[40],"[8, 12, 37, 60]"
72,29,Exercises,90,[25],[41]
73,20,Lecture,90,[50],"[83, 88, 46, 71, 85, 42]"
74,37,Exercises,90,"[44, 13, 57]",[42]
75,16,Exercises,90,"[1, 44, 30, 53]",[43]
76,50,Lecture,135,[28],"[79, 15, 83, 56]"
77,37,Exercises,90,"[15, 28, 25]",[44]
78,24,Exercises,90,"[49, 13, 14]",[45]
79,22,Lecture,90,"[12, 48]","[6, 53, 42, 55, 68, 67]"
80,48,Exercises,90,"[24, 12]",[46]
81,6,Exercises,90,[13],[47]
82,19,Exercises,90,"[10, 35]",[48]
83,30,Exercises,90,"[17, 48]",[49]
84,13,Lecture,90,"[19, 15]","[65, 85, 57, 73, 46]"
85,29,Exercises,90,[13],[50]
86,30,Exercises,90,"[42, 9]",[51]
87,6,Exercises,90,[38],[52]
88,7,Exercises,90,[32],[53]
89,27,Exercises,90,"[1, 47, 48, 59]",[54]
90,35,Exercises,90,[31],[55]
91,3,Exercises,90,"[46, 28]",[56]
92,20,Exercises,90,"[16, 31]",[57]
93,31,Exercises,90,[1],[58]
94,13,Exercises,90,[43],[59]
95,26,Exercises,90,"[28, 51]",[60]
96,6,Exercises,90,"[57, 3, 44]",[61]
97,23,Lecture,90,"[23, 52]","[7, 31, 17]"
98,20,Exercises,90,[22],[62]
99,7,Lecture,90,"[26, 0]","[83, 60, 10]"
100,16,Exercises,90,[42],[63]
101,51,Exercises,90,"[48, 23, 21]",[64]
102,3,Exercises,90,"[4, 40]",[65]
103,43,Exercises,90,"[31, 1, 5, 25]",[66]
104,20,Exercises,90,[16],[67]
105,11,Lecture,90,"[22, 0, 56, 24]",[54]
106,0,Exercises,90,[49],[68]
107,52,Lecture,90,[37],"[55, 85]"
108,15,Lecture,90,"[52, 56]","[0, 74]"
109,26,Exercises,90,[44],[69]
110,11,Exercises,135,"[50, 25]",[70]
111,47,Exercises,135,"[17, 39, 54]",[71]
112,29,Exercises,90,"[2, 50, 15, 36]",[72]
113,48,Lecture,90,"[2, 40]","[26, 84, 57, 88, 82]"
114,23,Lecture,90,"[38, 54]","[22, 91, 75, 6]"
115,51,Lecture,90,"[29, 46, 44]",[54]
116,19,Exercises,90,"[55, 37]",[73]
117,49,Exercises,90,"[17, 31, 44]",[74]
118,20,Exercises,90,"[7, 24, 51, 32]",[75]
119,54,Lecture,90,"[5, 36, 38]","[34, 1, 31, 47]"
120,45,Lecture,90,"[13, 7]",[46]
121,35,Lecture,90,"[11, 4]","[88, 4, 72, 12, 81]"
122,53,Exercises,135,"[50, 13, 58, 39]",[76]
123,54,Lecture,90,"[19, 2, 31, 3]","[20, 24, 31, 87, 10]"
124,5,Exercises,90,"[55, 30, 28]",[77]
125,19,Lecture,90,"[4, 28]","[57, 77, 76, 20, 0, 56]"
126,25,Lecture,90,"[7, 47, 20]","[11, 44, 66, 39]"
127,44,Exercises,90,[37],[78]
128,39,Lecture,90,"[9, 51, 26, 37]","[50, 46, 12, 29, 85, 4]"
129,19,Exercises,90,[28],[79]
130,44,Lecture,90,"[43, 37, 36]","[9, 4, 70, 90]"
131,39,Lecture,90,"[27, 23]","[78, 74, 25, 4, 69]"
132,44,Exercises,90,"[35, 47]",[80]
133,12,Exercises,90,"[51, 27, 46, 53]",[81]
134,26,Exercises,135,"[56, 0, 17]",[82]
135,34,Lecture,90,"[52, 0]","[62, 78, 86]"
136,11,Lecture,90,"[22, 34, 45, 52]","[64, 58, 55, 60, 75, 71]"
137,3,Lecture,90,[45],"[0, 72, 61]"
138,25,Lecture,90,"[27, 26]","[42, 18]"
139,32,Lecture,90,"[49, 41]","[1, 19, 24, 9]"
140,18,Lecture,90,"[20, 6, 2, 58]","[37, 88, 83]"
141,5,Lecture,90,[19],"[86, 27, 31, 36, 8]"
142,53,Lecture,90,[53],"[40, 35, 45, 29]"
143,0,Exercises,90,"[41, 28, 51, 20]",[83]
144,49,Exercises,90,"[32, 22]",[84]
145,17,Exercises,90,"[30, 24]",[85]
146,37,Lecture,90,"[4, 22, 42, 44]","[59, 0, 27, 89, 47]"
147,13,Exercises,135,"[57, 47]",[86]
148,9,Exercises,90,"[54, 58, 39]",[87]
149,39,Lecture,90,[54],"[18, 6, 16, 37, 44, 56]"
150,19,Exercises,90,"[6, 47, 13, 12]",[88]
151,19,Lecture,90,"[59, 43, 51]","[40, 72, 90]"
152,18,Lecture,90,[58],"[17, 5, 73, 29]"
153,46,Exercises,90,"[16, 38]",[89]
154,36,Exercises,90,"[21, 8, 35, 28]",[90]
155,3,Exercises,90,"[51, 58, 32]",[91]
156,38,Exercises,90,[2],[0]
157,15,Exercises,90,[14],[1]
158,29,Exercises,90,"[46, 40, 10, 38]",[2]
159,33,Exercises,90,"[25, 20, 39, 45]",[3]
160,15,Exercises,90,"[42, 20]",[4]
161,54,Lecture,90,"[40, 36, 28]",[10]
162,27,Lecture,90,[9],"[9, 22, 0]"
163,35,Exercises,90,[55],[5]
164,2,Exercises,90,"[15, 37, 14, 3]",[6]
165,0,Exercises,90,"[33, 42, 31, 47]",[7]
166,4,Exercises,90,"[41, 59]",[8]
167,19,Exercises,90,"[58, 39]",[9]
168,40,Exercises,90,"[17, 20]",[10]
169,21,Exercises,90,"[10, 56]",[11]
170,19,Exercises,90,"[56, 41, 12]",[12]
171,35,Exercises,90,"[37, 1]",[13]
172,37,Lecture,90,"[42, 49, 16, 55]",[2]
173,39,Exercises,135,[12],[14]
174,43,Lecture,90,"[59, 5, 35, 56]","[70, 19, 18, 8]"
175,26,Exercises,90,"[23, 2]",[15]
176,11,Lecture,135,"[16, 1, 47]","[0, 52, 31]"
177,5,Exercises,90,"[0, 12, 2]",[16]
178,31,Exercises,90,"[12, 21, 46, 35]",[17]
179,22,Exercises,135,"[12, 4, 38]",[18]
180,9,Exercises,135,"[45, 52, 1]",[19]
181,51,Lecture,90,"[7, 44, 54]","[13, 2, 8, 35, 49, 16]"
182,34,Exercises,90,"[34, 15]",[20]
183,43,Lecture,90,"[37, 46, 42]","[53, 33]"
184,12,Exercises,90,"[51, 55]",[21]
185,17,Exercises,90,"[58, 40]",[22]
186,19,Lecture,90,[25],"[80, 43, 66, 71]"
187,46,Exercises,90,[31],[23]
188,51,Lecture,90,[25],[4]
189,24,Lecture,135,"[3, 20, 39, 58]","[88, 18, 3]"
190,5,Lecture,135,"[58, 35, 20]",[0]
191,45,Exercises,90,"[7, 58, 14, 13]",[24]
192,48,Exercises,135,[16],[25]
193,19,Exercises,90,"[56, 7, 46, 50]",[26]
194,54,Exercises,90,[25],[27]
195,24,Exercises,90,[28],[28]
196,1,Exercises,90,"[10, 58, 39, 52]",[29]
197,37,Exercises,90,"[47, 32]",[30]
198,23,Exercises,90,"[3, 25]",[31]
199,42,Lecture,90,"[17, 25, 20, 12]","[42, 72, 83, 87, 50]"
200,35,Lecture,90,"[29, 1, 20]","[43, 30, 74, 13, 77]"
201,32,Exercises,90,"[9, 19]",[32]
202,4,Lecture,135,"[21, 58, 24, 59]","[13, 24, 77, 15, 83, 90]"
203,8,Exercises,90,[13],[33]
204,4,Exercises,90,"[13, 33, 45]",[34]
205,0,Lecture,90,[15],"[24, 50, 32, 91, 88, 44]"
206,9,Lecture,90,"[43, 42]",[54]
207,42,Lecture,90,"[54, 55, 28, 13]",[81]
208,17,Exercises,90,"[23, 16]",[35]
209,49,Exercises,90,[8],[36]
210,10,Exercises,90,"[25, 26]",[37]
211,10,Lecture,90,"[44, 55, 22]","[53, 5, 61, 20, 7, 55]"
212,33,Exercises,90,"[50, 49]",[38]
213,7,Lecture,90,[52],"[25, 10, 88, 2]"
214,17,Exercises,90,"[51, 53]",[39]
215,24,Exercises,90,"[42, 41]",[40]
216,22,Lecture,90,"[55, 39]","[10, 48, 23, 50]"
217,38,Lecture,90,"[29, 12]","[16, 12]"
218,4,Exercises,135,"[50, 35, 52]",[41]
219,4,Exercises,90,[32],[42]
220,16,Exercises,135,"[19, 5]",[43]
221,29,Exercises,90,"[33, 34, 38]",[44]
222,9,Exercises,90,"[19, 43]",[45]
223,54,Lecture,90,"[13, 5]","[44, 26, 90, 91, 77, 16]"
224,20,Lecture,90,"[34, 33, 59, 30]","[65, 6]"
225,44,Exercises,90,"[53, 6, 34]",[46]
226,16,Exercises,90,[52],[47]
227,37,Lecture,90,"[52, 9, 27]","[75, 33, 18]"
228,23,Exercises,90,[53],[48]
229,5,Lecture,135,"[38, 4]","[8, 41, 52, 79, 21, 7]"
230,11,Exercises,90,[43],[49]
231,24,Exercises,90,"[42, 19, 38, 50]",[50]
232,4,Lecture,90,[35],"[74, 33, 20, 59, 61, 12]"
233,20,Exercises,90,[46],[51]
234,25,Exercises,90,"[6, 15, 42]",[52]
235,6,Lecture,90,"[21, 6, 17, 16]","[77, 50]"
236,7,Lecture,90,"[7, 16, 18]","[5, 55, 19, 72, 16]"
237,23,Lecture,90,[7],"[34, 6, 81, 39, 76]"
